Cavité :	Puits du 8 ao�t
Système de coordonnées : UTM - fuseau 31
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
Coordonnées de l'entrée : 		8a1																724130.5	5021903.9	1912.0			

Galerie :	Galerie d'entr�e
Date du lever : 	02/09/2012	Déclinaison = 	1.01 °
Operateurs :	?ric Sanson notes	Serge Caillault length compass clino
mesures des longueurs :	DistoX
mesures des Azimuts :	DistoX	 en degrés
mesures des Pentes :	DistoX	 en degrés
	8a22	    -- -->  	 321.4 °	  76.4 °		1.16								  76.4 °	1.13	1.16	0.27	724125.4	5021884.0	1862.0	51.3		

	8a22	    -- -->  	 201.8 °	 -80.0 °		1.47								 -80.0 °	-1.45	1.47	0.26	724125.5	5021883.5	1859.5	51.3		

	8a22	   8a23	 244.9 °	 -12.4 °		2.91								 -12.4 °	-0.63	2.91	2.84	724123.0	5021882.5	1860.3	53.9		

Date du lever : 	31/08/2013	Déclinaison = 	1.14 °
mesures des longueurs :	DistoX
mesures des Azimuts :	DistoX	 en degrés
mesures des Pentes :	DistoX	 en degrés
	8a23	   8a24	 294.0 °	 -45.0 °		1.80								 -45.0 °	-1.27	1.80	1.27	724121.9	5021883.0	1859.0	55.2		

	8a24	   8a25	 315.0 °	 -18.0 °		2.14								 -18.0 °	-0.66	2.14	2.04	724120.4	5021884.4	1858.4	57.2		

	8a25	   8a26	 257.0 °	 -20.0 °		3.24								 -20.0 °	-1.11	3.24	3.04	724117.5	5021883.7	1857.2	60.2		

	8a26	   8a27	 245.0 °	 -15.0 °		2.12								 -15.0 °	-0.55	2.12	2.05	724115.6	5021882.8	1856.7	62.3		

	8a27	   8a28	 284.0 °	 -14.0 °		2.21								 -14.0 °	-0.53	2.21	2.14	724113.5	5021883.3	1856.2	64.4		

	8a28	   8a29	 222.0 °			1.09										1.09	1.09	724112.8	5021882.5	1856.2	65.5		

	8a29	   8a30	 276.0 °	 -25.0 °		4.57								 -25.0 °	-1.93	4.57	4.14	724108.7	5021882.8	1854.2	69.7		

	8a30	   8a31	 216.0 °	  -7.0 °		3.27								  -7.0 °	-0.40	3.27	3.25	724106.8	5021880.2	1853.8	72.9		

	8a31	   8a32	 263.0 °	 -18.0 °		0.86								 -18.0 °	-0.27	0.86	0.82	724106.0	5021880.1	1853.6	73.7		

	8a32	   8a33	 277.0 °	 -15.0 °		1.89								 -15.0 °	-0.49	1.89	1.83	724104.2	5021880.3	1853.1	75.6		

